,latency-lubm,memory
1,20027.08032,1332.919045
2,11714.63492,1327.854329
3,9312.106061,1331.601814
4,8890.104478,1332.466024
5,11210.04348,1332.550519
6,9505.228571,1328.263252
7,17151.01639,1329.740685
8,10484.84848,1329.140807
9,17646.96226,1334.235468
10,14065.90537,1331.688138
