,latency-lubm_neg,memory
1,1257.907485,40.55132
2,1046.966431,69.10892487
3,943.7166711,98.6218675
4,966.5938249,125.9537207
5,759.2947651,154.6453635
6,953.7853711,186.3381334
7,808.5408681,213.4662448
8,739.8645891,240.3898815
9,760.1462424,266.1950767
10,881.1631196,199.9021891
